keyword,growthRate,timeline.label,timeline.value,timeline.time
alfa romeo,0.651818881,"Feb 28, 2021",56,1614470400
alfa romeo,0.651818881,"Mar 7, 2021",56,1615075200
alfa romeo,0.651818881,"Mar 14, 2021",52,1615680000
alfa romeo,0.651818881,"Mar 21, 2021",47,1616284800
alfa romeo,0.651818881,"Mar 28, 2021",52,1616889600
alfa romeo,0.651818881,"Apr 4, 2021",53,1617494400
alfa romeo,0.651818881,"Apr 11, 2021",58,1618099200
alfa romeo,0.651818881,"Apr 18, 2021",51,1618704000
alfa romeo,0.651818881,"Apr 25, 2021",50,1619308800
alfa romeo,0.651818881,"May 2, 2021",57,1619913600
alfa romeo,0.651818881,"May 9, 2021",55,1620518400
alfa romeo,0.651818881,"May 16, 2021",53,1621123200
alfa romeo,0.651818881,"May 23, 2021",54,1621728000
alfa romeo,0.651818881,"May 30, 2021",56,1622332800
alfa romeo,0.651818881,"Jun 6, 2021",47,1622937600
alfa romeo,0.651818881,"Jun 13, 2021",49,1623542400
alfa romeo,0.651818881,"Jun 20, 2021",49,1624147200
alfa romeo,0.651818881,"Jun 27, 2021",51,1624752000
alfa romeo,0.651818881,"Jul 4, 2021",52,1625356800
alfa romeo,0.651818881,"Jul 11, 2021",54,1625961600
alfa romeo,0.651818881,"Jul 18, 2021",55,1626566400
alfa romeo,0.651818881,"Jul 25, 2021",51,1627171200
alfa romeo,0.651818881,"Aug 1, 2021",51,1627776000
alfa romeo,0.651818881,"Aug 8, 2021",51,1628380800
alfa romeo,0.651818881,"Aug 15, 2021",54,1628985600
alfa romeo,0.651818881,"Aug 22, 2021",51,1629590400
alfa romeo,0.651818881,"Aug 29, 2021",46,1630195200
alfa romeo,0.651818881,"Sep 5, 2021",54,1630800000
alfa romeo,0.651818881,"Sep 12, 2021",48,1631404800
alfa romeo,0.651818881,"Sep 19, 2021",49,1632009600
alfa romeo,0.651818881,"Sep 26, 2021",48,1632614400
alfa romeo,0.651818881,"Oct 3, 2021",51,1633219200
alfa romeo,0.651818881,"Oct 10, 2021",50,1633824000
alfa romeo,0.651818881,"Oct 17, 2021",46,1634428800
alfa romeo,0.651818881,"Oct 24, 2021",50,1635033600
alfa romeo,0.651818881,"Oct 31, 2021",48,1635638400
alfa romeo,0.651818881,"Nov 7, 2021",48,1636243200
alfa romeo,0.651818881,"Nov 14, 2021",42,1636848000
alfa romeo,0.651818881,"Nov 21, 2021",43,1637452800
alfa romeo,0.651818881,"Nov 28, 2021",41,1638057600
alfa romeo,0.651818881,"Dec 5, 2021",44,1638662400
alfa romeo,0.651818881,"Dec 12, 2021",41,1639267200
alfa romeo,0.651818881,"Dec 19, 2021",46,1639872000
alfa romeo,0.651818881,"Dec 26, 2021",56,1640476800
alfa romeo,0.651818881,"Jan 2, 2022",50,1641081600
alfa romeo,0.651818881,"Jan 9, 2022",49,1641686400
alfa romeo,0.651818881,"Jan 16, 2022",49,1642291200
alfa romeo,0.651818881,"Jan 23, 2022",54,1642896000
alfa romeo,0.651818881,"Jan 30, 2022",51,1643500800
alfa romeo,0.651818881,"Feb 6, 2022",66,1644105600
alfa romeo,0.651818881,"Feb 13, 2022",67,1644710400
alfa romeo,0.651818881,"Feb 20, 2022",52,1645315200
alfa romeo,0.651818881,"Feb 27, 2022",47,1645920000
alfa romeo,0.651818881,"Mar 6, 2022",46,1646524800
alfa romeo,0.651818881,"Mar 13, 2022",58,1647129600
alfa romeo,0.651818881,"Mar 20, 2022",54,1647734400
alfa romeo,0.651818881,"Mar 27, 2022",58,1648339200
alfa romeo,0.651818881,"Apr 3, 2022",52,1648944000
alfa romeo,0.651818881,"Apr 10, 2022",56,1649548800
alfa romeo,0.651818881,"Apr 17, 2022",57,1650153600
alfa romeo,0.651818881,"Apr 24, 2022",55,1650758400
alfa romeo,0.651818881,"May 1, 2022",58,1651363200
alfa romeo,0.651818881,"May 8, 2022",52,1651968000
alfa romeo,0.651818881,"May 15, 2022",52,1652572800
alfa romeo,0.651818881,"May 22, 2022",56,1653177600
alfa romeo,0.651818881,"May 29, 2022",54,1653782400
alfa romeo,0.651818881,"Jun 5, 2022",53,1654387200
alfa romeo,0.651818881,"Jun 12, 2022",56,1654992000
alfa romeo,0.651818881,"Jun 19, 2022",55,1655596800
alfa romeo,0.651818881,"Jun 26, 2022",48,1656201600
alfa romeo,0.651818881,"Jul 3, 2022",56,1656806400
alfa romeo,0.651818881,"Jul 10, 2022",59,1657411200
alfa romeo,0.651818881,"Jul 17, 2022",57,1658016000
alfa romeo,0.651818881,"Jul 24, 2022",59,1658620800
alfa romeo,0.651818881,"Jul 31, 2022",60,1659225600
alfa romeo,0.651818881,"Aug 7, 2022",55,1659830400
alfa romeo,0.651818881,"Aug 14, 2022",56,1660435200
alfa romeo,0.651818881,"Aug 21, 2022",49,1661040000
alfa romeo,0.651818881,"Aug 28, 2022",45,1661644800
alfa romeo,0.651818881,"Sep 4, 2022",47,1662249600
alfa romeo,0.651818881,"Sep 11, 2022",46,1662854400
alfa romeo,0.651818881,"Sep 18, 2022",45,1663459200
alfa romeo,0.651818881,"Sep 25, 2022",50,1664064000
alfa romeo,0.651818881,"Oct 2, 2022",43,1664668800
alfa romeo,0.651818881,"Oct 9, 2022",43,1665273600
alfa romeo,0.651818881,"Oct 16, 2022",45,1665878400
alfa romeo,0.651818881,"Oct 23, 2022",53,1666483200
alfa romeo,0.651818881,"Oct 30, 2022",53,1667088000
alfa romeo,0.651818881,"Nov 6, 2022",51,1667692800
alfa romeo,0.651818881,"Nov 13, 2022",45,1668297600
alfa romeo,0.651818881,"Nov 20, 2022",41,1668902400
alfa romeo,0.651818881,"Nov 27, 2022",39,1669507200
alfa romeo,0.651818881,"Dec 4, 2022",40,1670112000
alfa romeo,0.651818881,"Dec 11, 2022",39,1670716800
alfa romeo,0.651818881,"Dec 18, 2022",45,1671321600
alfa romeo,0.651818881,"Dec 25, 2022",56,1671926400
alfa romeo,0.651818881,"Jan 1, 2023",54,1672531200
alfa romeo,0.651818881,"Jan 8, 2023",49,1673136000
alfa romeo,0.651818881,"Jan 15, 2023",51,1673740800
alfa romeo,0.651818881,"Jan 22, 2023",44,1674345600
alfa romeo,0.651818881,"Jan 29, 2023",52,1674950400
alfa romeo,0.651818881,"Feb 5, 2023",55,1675555200
alfa romeo,0.651818881,"Feb 12, 2023",52,1676160000
alfa romeo,0.651818881,"Feb 19, 2023",53,1676764800
alfa romeo,0.651818881,"Feb 26, 2023",61,1677369600
alfa romeo,0.651818881,"Mar 5, 2023",52,1677974400
alfa romeo,0.651818881,"Mar 12, 2023",64,1678579200
alfa romeo,0.651818881,"Mar 19, 2023",62,1679184000
alfa romeo,0.651818881,"Mar 26, 2023",64,1679788800
alfa romeo,0.651818881,"Apr 2, 2023",59,1680393600
alfa romeo,0.651818881,"Apr 9, 2023",67,1680998400
alfa romeo,0.651818881,"Apr 16, 2023",56,1681603200
alfa romeo,0.651818881,"Apr 23, 2023",50,1682208000
alfa romeo,0.651818881,"Apr 30, 2023",54,1682812800
alfa romeo,0.651818881,"May 7, 2023",56,1683417600
alfa romeo,0.651818881,"May 14, 2023",51,1684022400
alfa romeo,0.651818881,"May 21, 2023",54,1684627200
alfa romeo,0.651818881,"May 28, 2023",56,1685232000
alfa romeo,0.651818881,"Jun 4, 2023",54,1685836800
alfa romeo,0.651818881,"Jun 11, 2023",52,1686441600
alfa romeo,0.651818881,"Jun 18, 2023",50,1687046400
alfa romeo,0.651818881,"Jun 25, 2023",53,1687651200
alfa romeo,0.651818881,"Jul 2, 2023",56,1688256000
alfa romeo,0.651818881,"Jul 9, 2023",54,1688860800
alfa romeo,0.651818881,"Jul 16, 2023",57,1689465600
alfa romeo,0.651818881,"Jul 23, 2023",58,1690070400
alfa romeo,0.651818881,"Jul 30, 2023",54,1690675200
alfa romeo,0.651818881,"Aug 6, 2023",49,1691280000
alfa romeo,0.651818881,"Aug 13, 2023",55,1691884800
alfa romeo,0.651818881,"Aug 20, 2023",54,1692489600
alfa romeo,0.651818881,"Aug 27, 2023",89,1693094400
alfa romeo,0.651818881,"Sep 3, 2023",62,1693699200
alfa romeo,0.651818881,"Sep 10, 2023",61,1694304000
alfa romeo,0.651818881,"Sep 17, 2023",58,1694908800
alfa romeo,0.651818881,"Sep 24, 2023",53,1695513600
alfa romeo,0.651818881,"Oct 1, 2023",55,1696118400
alfa romeo,0.651818881,"Oct 8, 2023",51,1696723200
alfa romeo,0.651818881,"Oct 15, 2023",51,1697328000
alfa romeo,0.651818881,"Oct 22, 2023",53,1697932800
alfa romeo,0.651818881,"Oct 29, 2023",58,1698537600
alfa romeo,0.651818881,"Nov 5, 2023",53,1699142400
alfa romeo,0.651818881,"Nov 12, 2023",51,1699747200
alfa romeo,0.651818881,"Nov 19, 2023",53,1700352000
alfa romeo,0.651818881,"Nov 26, 2023",51,1700956800
alfa romeo,0.651818881,"Dec 3, 2023",45,1701561600
alfa romeo,0.651818881,"Dec 10, 2023",53,1702166400
alfa romeo,0.651818881,"Dec 17, 2023",49,1702771200
alfa romeo,0.651818881,"Dec 24, 2023",59,1703376000
alfa romeo,0.651818881,"Dec 31, 2023",49,1703980800
alfa romeo,0.651818881,"Jan 7, 2024",54,1704585600
alfa romeo,0.651818881,"Jan 14, 2024",47,1705190400
alfa romeo,0.651818881,"Jan 21, 2024",61,1705795200
alfa romeo,0.651818881,"Jan 28, 2024",61,1706400000
alfa romeo,0.651818881,"Feb 4, 2024",66,1707004800
alfa romeo,0.651818881,"Feb 11, 2024",59,1707609600
alfa romeo,0.651818881,"Feb 18, 2024",62,1708214400
alfa romeo,0.651818881,"Feb 25, 2024",61,1708819200
alfa romeo,0.651818881,"Mar 3, 2024",63,1709424000
alfa romeo,0.651818881,"Mar 10, 2024",56,1710028800
alfa romeo,0.651818881,"Mar 17, 2024",58,1710633600
alfa romeo,0.651818881,"Mar 24, 2024",60,1711238400
alfa romeo,0.651818881,"Mar 31, 2024",64,1711843200
alfa romeo,0.651818881,"Apr 7, 2024",80,1712448000
alfa romeo,0.651818881,"Apr 14, 2024",83,1713052800
alfa romeo,0.651818881,"Apr 21, 2024",65,1713657600
alfa romeo,0.651818881,"Apr 28, 2024",67,1714262400
alfa romeo,0.651818881,"May 5, 2024",61,1714867200
alfa romeo,0.651818881,"May 12, 2024",64,1715472000
alfa romeo,0.651818881,"May 19, 2024",69,1716076800
alfa romeo,0.651818881,"May 26, 2024",63,1716681600
alfa romeo,0.651818881,"Jun 2, 2024",64,1717286400
alfa romeo,0.651818881,"Jun 9, 2024",61,1717891200
alfa romeo,0.651818881,"Jun 16, 2024",53,1718496000
audi,6.150065492,"Jun 16, 2019",83,1560643200
audi,6.150065492,"Jun 23, 2019",81,1561248000
audi,6.150065492,"Jun 30, 2019",81,1561852800
audi,6.150065492,"Jul 7, 2019",83,1562457600
audi,6.150065492,"Jul 14, 2019",87,1563062400
audi,6.150065492,"Jul 21, 2019",83,1563667200
audi,6.150065492,"Jul 28, 2019",84,1564272000
audi,6.150065492,"Aug 4, 2019",84,1564876800
audi,6.150065492,"Aug 11, 2019",87,1565481600
audi,6.150065492,"Aug 18, 2019",85,1566086400
audi,6.150065492,"Aug 25, 2019",80,1566691200
audi,6.150065492,"Sep 1, 2019",78,1567296000
audi,6.150065492,"Sep 8, 2019",84,1567900800
audi,6.150065492,"Sep 15, 2019",83,1568505600
audi,6.150065492,"Sep 22, 2019",82,1569110400
audi,6.150065492,"Sep 29, 2019",79,1569715200
audi,6.150065492,"Oct 6, 2019",84,1570320000
audi,6.150065492,"Oct 13, 2019",83,1570924800
audi,6.150065492,"Oct 20, 2019",83,1571529600
audi,6.150065492,"Oct 27, 2019",94,1572134400
audi,6.150065492,"Nov 3, 2019",89,1572739200
audi,6.150065492,"Nov 10, 2019",86,1573344000
audi,6.150065492,"Nov 17, 2019",85,1573948800
audi,6.150065492,"Nov 24, 2019",78,1574553600
audi,6.150065492,"Dec 1, 2019",75,1575158400
audi,6.150065492,"Dec 8, 2019",77,1575763200
audi,6.150065492,"Dec 15, 2019",83,1576368000
audi,6.150065492,"Dec 22, 2019",93,1576972800
audi,6.150065492,"Dec 29, 2019",85,1577577600
audi,6.150065492,"Jan 5, 2020",84,1578182400
audi,6.150065492,"Jan 12, 2020",83,1578787200
audi,6.150065492,"Jan 19, 2020",84,1579392000
audi,6.150065492,"Jan 26, 2020",84,1579996800
audi,6.150065492,"Feb 2, 2020",79,1580601600
audi,6.150065492,"Feb 9, 2020",83,1581206400
audi,6.150065492,"Feb 16, 2020",87,1581811200
audi,6.150065492,"Feb 23, 2020",82,1582416000
audi,6.150065492,"Mar 1, 2020",80,1583020800
audi,6.150065492,"Mar 8, 2020",68,1583625600
audi,6.150065492,"Mar 15, 2020",58,1584230400
audi,6.150065492,"Mar 22, 2020",55,1584835200
audi,6.150065492,"Mar 29, 2020",52,1585440000
audi,6.150065492,"Apr 5, 2020",56,1586044800
audi,6.150065492,"Apr 12, 2020",60,1586649600
audi,6.150065492,"Apr 19, 2020",61,1587254400
audi,6.150065492,"Apr 26, 2020",65,1587859200
audi,6.150065492,"May 3, 2020",63,1588464000
audi,6.150065492,"May 10, 2020",68,1589068800
audi,6.150065492,"May 17, 2020",73,1589673600
audi,6.150065492,"May 24, 2020",75,1590278400
audi,6.150065492,"May 31, 2020",75,1590883200
audi,6.150065492,"Jun 7, 2020",81,1591488000
audi,6.150065492,"Jun 14, 2020",80,1592092800
audi,6.150065492,"Jun 21, 2020",82,1592697600
audi,6.150065492,"Jun 28, 2020",86,1593302400
audi,6.150065492,"Jul 5, 2020",89,1593907200
audi,6.150065492,"Jul 12, 2020",88,1594512000
